x_test,future
"[126  38 145 145  15 145  15  46  50 162  11 162  11  56  42 145  15 145
  15 162  11 171 160 162  11 171 160 172  29 145 172  42]",[162  68 171 162 145  15  56 136]
"[  4  30 138  21  51 116  30 136  39  30 131  16  30  16  97 128 159  51
 128  33 135 115 115 128 165 151 140 151  33 151  33 113]",[ 26 116  39 138  51   4 116 138]
"[149  51 103 115 115 103 159 115 115 159 159   7   7 159 159 159 177 103
 117 117 165 115 115  97 149 149 165 115 115  97 149 149]",[180 117 180 103 123 160  42 170]
"[109 131 109 131 109 131 109 131  16  87  16  87  16  87  16  47  44  89
  89  25  97  44  89  89  16  47  44  89  89 174 180  44]",[89 87 15 44 89 89 89 89]
"[ 90  29 159  29  49  29  49  63 165 124  63 165 124  81 123  88  47  88
 144  88 144  88  47  58 129 146  47 158  69  29  49 136]",[136 159  10  29 132  29  49  29]
"[113  48 113  48  97 105  47 155 120 155 120 155 120 155 120 155  71  18
   8  44  89  44  89  44  89  44  89  44  37 100  17 165]",[159 159 159  90  90 116 116 120]
"[122  11 180  56  93 123  92 123  93 123  92 123  93 123  92 123 172  93
 123  28 123 172  93 123  28 123 171  93 123  89 123 172]",[123  28 123 162  93 123 160 123]
"[ 56 139 136 122  38  80 139 122  67  43 168 139  62 127 105 127  18  57
 127  93  18  57 165 117  93  42  18  99  57  42  18 145]",[126  93  42  18  52 165 145 117]
"[ 38 145  99  97 143 143  99  97  99  97 143 143  99  97 143 143  99  97
 143  99  21  89 172  99  21  89  80  44 172 174  25  44]",[ 99  21  89 172  99  21  89  80]
"[ 11 146  90  90 146 132 146 132 146 132 103 132  94 132 103 132  29 136
  29 136  29 136 141 136 141  68  71 146 132 146 132 103]",[ 94 132 103 132  49 136  49 136]
"[ 24 156 105 156 105 145  24 156 105 145  18  72 181  72 181 145  18  72
 181 145  18  72 181 145  18  72 181 145  18  10 152 145]",[ 56  38  80  38 172  17  56  42]
"[ 47  11  68  29  93 123  17  93 123  17 116 165 123  28  88 125 123  89
 160 123  89 160  88 165 123  28  88 125 123  89 160  47]",[160 172  28 171  89 172  28 162]
"[127 127 127 127 150 127 150 150 150 150 116 116 116 116 150 116 150 150
 150 159 159 159 159 159 159 159 159 159 159   5   5  60]",[ 60 144  60 144  60 144  17  50]
"[ 16   2  46 113   2  46  16  76  22 180  98  47  22  98   2  97  43  76
 180  43 171  97  43  22 180  76  43   2 123  98  56 180]",[ 98  22 123  98  76 180  56  98]
"[ 30 150 177 138 150 177 160 125  76  42  22 125  42  30  43  21 170  99
   2  43 126  99  99 126 160 171 180  76  97  84 177 176]",[ 86  16 158  22  78  86  22  78]
"[170   2 113  89  92  89  46  50 172  99 155  47   2  28  47  46  17  50
  76 100  47  37  47  22  92  99  76  18  97  15  97  22]",[ 99  76  44  97  17  97 172  89]
"[ 68 126  68 180  68 112 145  68 123  68 126  68 124  68  27  68  22 146
 123 114  38  22   2 146 113 114  56 162 124  26 123 126]",[180  98 126 180  13 112  50  68]
"[ 76  21 139 168  67  89  67  66  82  67  89 111  66  67  89  82  67  66
  67  89 102 104  13 102 104  89 102  67  97 142  61  97]",[ 61 142  97  67  61 168 123 139]
"[ 46 170  21  50 168  92  59  37  67 145  67  92  67 145 142  89  21  38
 170  21  76  17 172 170  59  37  67 145  67  92  67 145]",[ 89  21  38 170  21  76  17 172]
"[ 89  89 117 117 117 117 117 117 117 117 117 117 117  20  46 117 127 127
 127 127 127  56 127 127 127 127 181 152  54 173  29  29]",[ 29  29  29  29  29 122 131  29]
"[ 50 100 172 124  50 100  11 155  50 100 169 124  50 100  99 155  50 165
 169  97  50 165  99 155  50 165  52  97  50 165 178  15]",[ 92  42 169  22  56  38  56  22]
"[ 87  44 113  89  25  44  97  89  16  44  47  89 151  44 180  89 170  91
  89   6  39  69  48 163 163 163 163 163 163 163 163 163]",[163 163  22  48 152  54 175  22]
"[ 47  37  47  22  92  99  76  18  97  15  97  22  37  99  76  44  97  17
  97 172  89  92  56 105  97  76  37  22  97 172  15 169]",[170  44  97  17 169  97 172  89]
"[135 176  66   8  66   8  45  58  33 177 176 125 157 125 157 125 157 150
 157 150 157 150 157 125 116 125 116 173 159 173 161 150]",[131 159 131 159  38  56 169 159]
"[ 62 103 165  29 161  29  71  17  99  42 161  29 103 117 177 177 135  37
 160 177  97  32  32 159  32  32 103 103 123  62  62 157]",[145  62 103 123 103  20  50  42]
"[169 170 126  50  99  92 160  17  92  99  92  17  92  99  92  17  99  92
  17  99  92  17  99  92  17  99  92 159  51  39 159  51]",[172 180  92  76  37  92  22 126]
"[170 169 171  22  76 105  99  97  76 105  99  97  76 105  99  97  98 105
 125  97 143 125 105  98 143  97 105  97  76 105  99  97]",[105  56 127  42 123  56 127  43]
"[117  94  42  99 171 127 160  30 117 160  30 123 160  30  89 160 171 127
 160  30 117 160 171  30 123 160  30  89 160 171  54 160]",[117 160   3 180 160  28 160 171]
"[ 58 180  58  58  58  58  47  58  58  97  58  58  58 113  58   8 117 121
 100 121 121 121 100 121 121  79 100  79  79  79 100  79]",[121  97  58  58  58  58  58  58]
"[ 37 145  15 142 169  38 145 162  11  76  99 162  11 169  37 145  15 142
 169  38 145  74 124 162  11  80 126 142 145 122  52  38]",[ 74 124 162  11  80 126 142 145]
"[ 59 179 110 104  35 179 154  69  77 175  48  77 105  77 155  18  77  93
  22  77 100  55 113  87 113 165 113 147  47  97 113 151]",[171 103  76 103  38  21 103 142]
"[ 28 132 160  17 146  92  11  71  92  11 148  18  93 132 117 165 146 113
 124  71 113 124 113 124 123  47 180  15  28 160 172  17]",[ 11  76  99  46  50   2 126  38]
"[  2 180  21  89 142  37  21  89   2 180  46  47  56 123  22 113 169 100
 145  18  42 127 145  18 169 100 145  18 169 100 145  18]",[127 145  18 171 117 145  18 171]
"[162  37  52 165  50  47 172  28  46 172  97 100  50  47  76  17 172  97
  50  47  76  17 169 124  50  47 162  37  50  79  46  71]",[161  58  40  79  79 129 129   0]
"[ 71  58  18  71  44  18  44  18  44  18  44   8  18  44  18  44  18  44
  18  44 120  18  44  18  44  18  44  18  44  71  18  44]",[44 18 44 18 44 51 18 44]
"[109  51  12  90 109  51  12  90   5   5  29 159 158  39  29 159 158  39
  29 159  33 108  71 151   8 161 108  58 159 108  90  74]",[145 108  52 169 172 162  56   2]
"[ 50 162 181  11  70  50  52  11 162 181  11  42 169  11 162  47 144 106
  56 123 118 153  46 124 144 106  56  93  42 153  52  22]",[122  93  52   4  22  56  52  46]
"[170 127 160  52  93  28  29  17  42  28  52 181  28  11  50  28  52  28
  29  17  42  28 160 170 127  17  11  42 123  50  42  11]",[160  52  28 173  17  42  28  52]
"[ 34  89  34  89  66   8  43  89  43  89  43   8  44  66  44  66   8  43
  44  43  44 138   8  34  44  34  44  66   8  43  44  43]",[ 20  89  13  47  13  47 121 180]
"[ 28 170  92  52  93  80  92 168  28  21  92 122  28  21  92 122  28  76
  92  56  28  76  92  56  28 172  92  22  28 172  92  22]",[170  92  52  28 170  92  52  28]
"[  8  92 123  33  93 123 116  92 123  90  93 180  28 180   2  93 180  11
 180 171  93 123  89 123  22  93 123 162 160 123  22  93]",[ 56  28  92 168  28  92 122  28]
"[ 82 139 139  42  82 139  21 139  99 110  92 180 154 110 168 168 126 110
 168 142 168  42 110  99 160   9 110  67  67 126 110  67]",[ 67  99 110  92 180 154 110 168]
"[ 80 168 171 102 168 145 102  80  56 102  82 172  59 110 145 164 110  42
 164  35  50 164 145  35  50 164 145 102 171 139 162 102]",[139 162  35  42 164 145  35  42]
"[108 172 151  76  21  80  76 149   2  80  67 162 108  38 142 102 172  76
 122  80 169 108 162  38 142  52  74 162   2 122 145  15]",[ 28 169  37 172  17 162  11  56]
"[ 13 102 104  89 102  67  97 142  61  97  67  61 142  97  67  61 168 123
 139  30 142  21 123 142 113 168 142  98 168  38 133 142]",[125 170 169 171  22  76 105  99]
"[168 139  80 123  82  80  82 164  29 142 180 168 142 168 110  34   9 124
 110  82 102 114  27 118 118 124  27   2  56 162  22 171]",[123  56 172  56  38  29  38 180]
"[ 52 162  52 126  52 126  52 162  52 126   2 124 160 171 170  46 171 170
 162  89 170  50 171 170  42  56 153  42  52  22  52  42]",[ 42  52  22  52  42  56  37 124]
"[ 76  38 145 169  89  76  38 145 169 162  21 170 169 162  21 170 169  21
  22  76 143  99 169  25  22  76  99 169 172  76  99 170]",[ 76  91  99 170  24 172  76 174]
"[132  46 181 158 132  21 155  87  60 122  60 144  60 144  60 144  60 144
 122  60 144  60 122 155 144  60 122 155 144  60 122 152]",[ 49 142 152  36  49  36  49  36]
"[100  50  47  76  17 172  97  50  47  76  17 169 124  50  47 162  37  50
  79  46  71  61 161  58  40  79  79 129 129   0  41  79]",[ 79  40  88 155 165 155  81 152]
"[ 22 145 113 169 170  98 171  76 133  21 139 125 168  67  67  82  67  89
 111  66  67  89  82  67  66  67  89 102 104  66 102 104]",[102  67  13 142  89  97  67  61]
"[ 76 142 169  21 135   2  46 169  76  76  37 162 169 162  87 162 169 162
  37  76 169 115   2  52  76  89  22 170  22  50  22 170]",[ 37  22 145  22  99  22 145  76]
"[ 97  76 172  99  76 162  99  46  76 101   2 122 151  80 162  99  46  76
  99   2 122  99  80 142  42 122  38  99 122 142  99  22]",[ 46  22  47  46  22  50  46 172]
"[ 89 171 170  42  42 123 170  42 160  42  83 145  42  92  92  42  92  37
  42  83 145  42  92  92  83  42  92  37  42  83 145  42]",[ 92  42  92  37  42 126  42  92]
"[169  34  37  38 169 136  37 168 169  19   8  19 120  61  58  79  58 132
 103 132 103 145 132 103  50  34 175  15 100  34 175  15]",[ 34 175  15 100  34 175  15 100]
"[132 158 132 158 132  29  49  29  49  29  49  29  49 172 144  49 144  47
 144  17  47  17  49 144  60  49 144  49 144  49 144  47]",[ 17  47  17  49 144  17  47  49]
"[129 157 129  30 129 116 129 111 129 157 129  30 129 116 129 111 129 157
 129  30 129 116 103 129 158 144  87 129 158 144  87 103]",[158 144  87 103 129 158 144 136]
"[169  37  37  37  37  37  37  37  37  40  37  37  37  91 129  37  37  37
 129 129  65  65  65  24  86  55  24  55  86  24  24  24]",[ 98  98 120  24  53  53  53 144]
"[ 17 165  89  44  17 165  89  44  17 165  89  44  71  28 160 136  17  11
  42 136 129 145  52 171 132 172 162  56  29  46  38 122]",[139  80 136 102 129  82  59 164]
"[159  10  58   8  71 120 159 116  39 159  58 151   8  58   8  71  51   8
  71 120  51  61  39 159  58   8  51  71 120  51  39 151]",[ 39 159  58  51   8  71 120  51]
"[126 172 168  92 126  21  50  22  21  46  39 170 125   2  90  56 103 153
  56  39 122 168  82  33  35 157 116 139  90 157  30  90]",[ 90  30 131  90 122  39 131 123]
"[ 42  29  29  80  29  11  29 122  17  29  29  80  88  29  29  80  17  28
 131 131  82 131 160 131  80  28 131 131  82  28 131 131]",[ 28  88  88  21 160 122  17 173]
"[160 170  93  28  92 126  28  92  52 155  57 160 155  11  57 170 155 160
 105  11 155 171  57  92 126  52  92 126 145  54 160  11]",[ 11 145 126  48 180  28  92  28]
"[172  22  46 170  50 113 170 172  46 170  50  47 170 172  76 170  99  89
 170 172  76 145  99  17 145 169  22 145  92 105 145 169]",[ 50  92 155  50 170 172  50  17]
"[142 122 142  80 142  80 102  67 126 145  52 145  52 169 102 172 169  52
  59 170  52 171  52 171 172  82 162 172 171 122  52 139]",[139  80 102  36 145  22 145 161]
"[165 145  18 172 165 145  18  99 105 145  18  46 181 172  44  46 181 172
  44  50 124 172  44 139  48  46  44 139  48  46  44 171]",[ 46  48  10 159 135  88 135  88]
"[165 151   8 140 159 151  19  51 151  51 113 149   5  39  77 159  41  58
  69  58  97 159  91   8  91   8  97  58 133  71 133   8]",[151  89  33   6 116  30  51 174]
"[172  28 171 124  47  28  47  28  11 162 123 172  89 171  11  56 165 123
  28 117 124  28  56 122 113 123  22  28 171 124 180  28]",[ 22  28 171 160 162 123  22  89]
"[127 160  30 117 160 171  30 123 160  30  89 160 171  54 160   3 117 160
   3 180 160  28 160 171  54 160   3 117 160   3 180 160]",[ 28 160 170 127  89 157 117  89]
"[ 18 142  76 142  67  61 142  18  67 142  67 154  61  67  18 154  67 154
  95  61 110  57   9 110   9  95  43 180 137   9  43 180]",[104 110  82  67 168  36 180 139]
"[135 151 113  89 147  69 147 113 147 147  89 147  69 147  77 100  37  77
  69  77 100  77  77  37  69  69  77 147 113  89 147  69]",[113 147 147  89 147  84  69 147]
"[ 35  73  88  35  59 144  82 102  55  59 154  79  35 164  79  59  82  55
 102  80 144  88 122  80 144 122  80  88 122  38  36 122]",[ 53 102  80  36 142 122  53  38]
"[170 126 150   4 177 157  30 157  30  39  42 161 123 103   8 157  30 116
  39  39 161 161  33 149  51 103 150 116 125 157 125  21]",[122  21  94   2 177  21   2 150]
"[ 74  90 171  62 116 126  88  42  99  94 126  42 150  30 157 144  43  21
 107  43 107  43 170 157 107 125 157  30 157 144  43  21]",[ 43  75 158 174 176 139   3 176]
"[ 59  39  67 168  58  80  67 159 168  80  51 168  67 159 168  80 161 142
 168  58  80 142  39  80 168  58  80 142  39  21  80   8]",[ 21 159  38 142  71  21  38  58]
"[ 37 142 158  92  21 101 158  21 165 158 113  21  86 180 142   6  86 142
 155  86  57 168  86  22  31  86  21  22 142  86  22 168]",[65 22 87 38 22 21 30 22]
"[126   2 124 160 171 170  46 171 170 162  89 170  50 171 170  42  56 153
  42  52  22  52  42  52  42  52  22  52  42  56  37 124]",[126 162 160 171 126 171 180 126]
"[ 46 181 142 122 142  76  79  79 162  79 172  79  79 169  79 144 105  61
 156  61 129  91 140  40 155  55  55   3 155   5   5 172]",[55 58 58 58 58 58 58 58]
"[ 11 103  18 160  42 103 145 116  42 160  39  93  28  92  39 145 116  92
  28  90 124  28  11 126  11  28  90  52 107 162  90  12]",[ 52 120 162  68  21 120 125 120]
"[160 144  17 172   5 172   5  10  10  10 159   5 120 161  10 159  10  49
  10  49  10  49  10  49  10 116  10  90 159  62 103  62]",[ 62 157  62 157  62 157 146 157]
"[156 129  87   1 146  15 146  50  15  50 148 145  29  29  15 132 160  29
  17 165  29 152 165  29  15 132 160  29  28  88 123 157]",[ 88  47 155  88 152 155  93  52]
"[ 36  76 180  22 178 176  43 176  13 112  50  68  15  68 126  68 180  68
 112 145  68 123  68 126  68 124  68  27  68  22 146 123]",[ 38  22   2 146 113 114  56 162]
"[ 71  71  71  10  38   5  94 141  10  38  56  38  80  10  80 139 136  80
 144  56 168 162 102  10  82  13  59 173 110  11 146 164]",[ 50  35  72 164  94  59  72 102]
"[129 145 171 145 171 148  38  46 162 172  29 136  10  17  42  17  42 136
  52 145  42  17 144  17  96 160 112  11  50  11  50  96]",[145  50  11 173  42  10  17  10]
"[ 37 156  24 156  24 129 100 129  58 156  97 156  24  75  47 156  24 156
  24 129  37 129  58 156  99  40 143  21  50 156  24 156]",[129 100 129  58 156  97  40 143]
"[ 58 109  58  58  58 109  58  58  58 109  58  58  58  58  58  58  58  58
  58  58  58  58  58  58  58  79  58 142 142 169 142 142]",[142 142 169 142 142 169  87 142]
"[117 160 171  54 135 135 117 160 146 127 123  42  56 146 127 127 107 105
 107 127 123  42  56 107 127 127 105  88 127 123  42  56]",[127 146 127 107 105 146 127 123]
"[151 151 151 151 151 151 151 151 151 151 151 151 151 151  10 159  10 116
  10 116  10  71  10  71  10 159  10 159  10 159  10  17]",[ 42  10  42  10 145  10 145  10]
"[165 165 165 173 165   7 165  81  47   5  47   5  47   5  47 123  79 124
 113 124 100  93 100 108  18 108  18  93 108 100 165 143]",[ 47  10 123  97 123 165 117 165]
"[ 22  57  86  86  86  92  86  57  92  86  84 169  75  79 169 135  24 169
  46  44  16  16  16  50  44  16  16  16  50   2  44  91]",[ 25 135 162  44 158 158  89  11]
"[ 48 145 127 169  18 145 127  42  48 145 127 169  18 145 127  42  48 145
 127 169  18 145 127  42  48  50 181 169 155  50 100  37]",[ 50 181 169 155  50 100  37 155]
"[162  46  21  46  21 122 139  92 102 168 139  20 122  21   2  46  21 139
  92 102 168 139 162 125 122  21   2  46  21 139  92 162]",[102 139 102 139 102 139 102 139]
"[107  91 107 159  88 135  88 159 159 135 107  39 153  78 107 153  39  78
 153 107  39  39  78 107  39 153  78 107 153  39  78 153]",[ 39  39  78 107  90  88 179 107]
"[ 25 174  51 169  61  39  58 159  25  60 134 105  97  25  44  97  99  97
 111 111  11 124 111 111  99  97  51 142  61  39  58 159]",[ 60 143 101  99   8  25  99  76]
"[ 76 170 113  56   2  16  56  30 127 135  30  34  43  57  43 176  43  57
  34 135  86  34  43 117 176  43 117 176 114  89 171 174]",[171  89 169 156 114  43  89 174]
"[171  44 117  22 169 124  97 171 170  89  65  37  52 126 160  97  44   6
 170  42  14 111 126  99 111  42  92 143  42  92  42 160]",[ 89  44  42 160  42  28 165  42]
"[117 145 171  11  56 171 160 145 171  11 162 169 123 145 169  15  22  38
  97  22  38  92 142   2 124 142   2  11 122 172  97  38]",[ 28   2 172 123 122 171  15  38]
"[160 162 124 102  11 162 124 102  11  38  15 164 145  38  15 164 145 162
 124 102  11 162 124 102  11 146  90  90 146 132 146 132]",[132 103 132  94 132 103 132  29]
"[168 170  80  69 142 170  21 179 170  21 179 170  21 179 170 122 179  52
  35 179  52  35 179  52 154  78 169 142  78 169 142  78]",[ 80 135 169 119 135 154 169  73]
"[161 168 102 159  38  38 103  22 162 145 104 103 102  67  90  21  21 159
 162  76 170 103 154 104 110  59  67 168 139 142  21   2]",[ 76  22 172 171 169 170 126  50]
"[ 28 142  42  28 122  92  52  38 124  28  11  28  46  50 145  38 117  15
  50  15  46  11 145  38 165  15  42  15  56  17  50  21]",[ 15  38  11  46  15  56 160 162]
"[171  15 172 180 123 124  11  17  42 126 145 160  52  28 171  15  52  28
 171  15 172 180 171  15 172 180 162  47 172  15 162  47]",[ 97 162  47  76  97  46 124  76]
"[ 51  88  51  58  90 120 129  58   8 156  71  87  51 143  90  25 159  79
   8  24  71 102   8 120 102 116 169  22  56  38 116 142]",[116  82 154  71 164  82 168 142]
"[102  80 139 122  42 139 122  38  46  11  56  46 139  50 142 139 102 171
 102 124  80 139  11  80 139  99 122  30 157  56  21 157]",[ 21 157  21 131 157  21 131 157]
"[ 44  99  89  17  50  92 126  99 120 113  50 120  16 120  50  39  47 170
  39  16 170 159  97 126 159  25 159 126  80  33  44  99]",[ 99 120 113  50 120  16 120  50]
"[ 92  48  99 105 150 127 127 127 127 150 127 150 150 150 150 116 116 116
 116 150 116 150 150 150 159 159 159 159 159 159 159 159]",[159   5   5  60 144  60 144  60]
"[113  92 120 160  92  51  50  92  39 160  92  39 180  92 103  37  92  58
 126  92  37  92 100  11   8  37  11 120 170  11  90  37]",[ 58  97  37   8 180  37  33  99]
"[180 126  97 126  97 170 123 126  97 170 123 180 126  97 126  97  43 180
 178  33  43 176  43 176   2   2 176 135 176 135  16  14]",[135  16   2  14   2   2  36  78]
"[ 19 148 148  19 148 148  19 148 148  19 148 148  19 148 148  19 148 148
  19 156 147  48 147 147 147 147 147 168 147 147 168 147]",[ 80 168  87  87  67  19  19  59]
"[ 17  42  50  17  28  47  17 145  11  37 100  11  52  99  17 155  99  52
  99  17 155  99  52  99  17 175  99 169  50  11 175  50]",[ 50  17 152  50 145  42  17 152]
"[ 67  80  67   2 110  67  80  21  67  80   2  67  21 104  67   2  80  21
  67  80  67   2 104  67  80  21  67  80  67   2 104  67]",[ 21  59 168  59  46 104  59 139]
"[145 142 145  21  38  76 169  76  99  38 142 143 100  85 165 124  61  97
  79 100  61  97 169  86 172  85 162  76 121 169  79  76]",[ 39 147  39  33  84  33  84 120]
"[  2 172  97 122 171 123  38 145 117  56  42 165 172  11 124 171 145 160
 162  11 124 172 126  17 162 172 124 126  11  28 172 171]",[ 11 145 123  52 180 171  15 145]
"[  5  47   5  47   5  47 123  79 124 113 124 100  93 100 108  18 108  18
  93 108 100 165 143 124  47  10 123  97 123 165 117 165]",[ 93 173  93 117 173 165 124  88]
"[ 50   2 126  21 170 142 169  21 170   2 126  46  50  56  42  22  92 169
  37 145  15  42 123 145  15 170  89  50  47 170  89  50]",[ 92 113  50  47 170  44 169 100]
"[174 169  76 156 169  76 156 169  43 160  99   2  43  42   2  43  99   2
 125 123  92 139 125  89 139 125  37 139  92  43 180 160]",[ 43  37   2  43 160   2  36  92]
"[ 92  42  52  42  92  42  92  42  52  42  92  22 131  92  42  52  42  92
  22 131  92  42  52  42  92  22  33  92 126  52 126  92]",[ 92 126  52 126  92  52  28  92]
"[ 15  46  11  56 145 165  15  17  15  42  46  56 162 145 117  15  46  11
  15  21  50 145  38 165  15  42  15  56  17 145  38 117]",[160  15  46  11  21 170 117  89]
"[142 122 172  38  46 144  17  28  47 169  37 172  17 162  11  76  99  56
  42  46  50  56  42  46  50 122  52  38 145  46  50  56]",[ 38 145  46  50  56  42 162  11]
"[ 97  99  17  99  46  97  50  92  50  76  97  99  17  99  97  50  92  46
  50  76  97  99  17  99  65  97  65  50  65  92  50 159]",[99 17 99 97 50 92 58 50]
"[ 59  67  59 110 110  67 154 104 110  59  67 168  80 142  21  38   2  46
  76  22 172 169 170 145 126  50  42  99  11  92  17 160]",[28 94 94 94 94 94 94 94]
"[180  34 136  34 136  43  33  98  14  43 177   2 180 177 117 180 135 139
 180 168 113 180  14 142 180 168 168  97 180 176 180  45]",[135 176   2 180 135 180  93 135]
"[ 92  28  92 126  92  28 171  90 160  11 126  11 160  11 160  11 126  11
 160  52 116 160  11 170 160  11 126 160  11  42  64  89]",[52 34 28 92 42 92 28 22]
"[ 67 177  82 110 135 160  82  67 135 160 168 139 142  21   2  56  30 160
  76  22 171 169 171  22  30 160  76  56   2  21 142 139]",[168  67 177  82 110  43 126 104]
"[ 54  91  32 139  32  43  32  43  32  43  32  56 127  62  62  62  62  62
  62  62  62  62  62  62  56  62  62  62 171  62 136  62]",[ 62 136  62 171  54 135  32 172]
"[ 46  50 102 125 139 102  50  59 125 102 139  50  80  88 122  80 172  17
 142 143 122 142  38  17 122 144  46 122 172  17  38 136]",[ 17  38 136  56  17  38 145 169]
"[123  36  76 180  22 178 176  43 176  13 112  50  68  15  68 126  68 180
  68 112 145  68 123  68 126  68 124  68  27  68  22 146]",[114  38  22   2 146 113 114  56]
"[ 15  42  17  42  72 145  50  11  42 172  10  17  29  13   7 144  88  80
 143 102  80 102  80  88 102  80 122  46 144  46  88  56]",[162  56  46  56  53  46  38  56]
"[ 92 180  92  42 126 126 126 180 126 180 126 180 126 180 177 180 117 135
 171 180  22 113 180  14 169 180  22  22  97 180 176 180]",[ 86 135 176 126 180 135 180 117]
"[ 76  76 126   2  76 171  76  67 180 117 110  67 139 139 160  67 139   2
 139  37  82  89 123 104  82 139 139  42  82 139  21 139]",[110  92 180 154 110 168 168 126]
"[151  91  97  61  97 120  19 120  49  91  15  18 180  15   1 132  68  15
  18 180  15 172  17  38 145   2 126  38 145  76  99 162]",[172  17 112  15  99  97  17 165]
"[ 17 172 126  97  99 126  17 172 126  97  99 126 160 171 171 123 145 171
 160  38 171  15 145 171 160  56 172 180 171  52  17  56]",[180  52 171 160  76  56 123 145]
"[ 15 159 180  15 180  15  28 160  17  11  42  50 126 145  52 171 172 162
  56  46   2  38   2  38 122 139  80 102  80 102  80 102]",[ 80 102  80 102  80 102  80 102]
"[ 25 159 126  80  33  44  99  25  99 120 113  50 120  16 120  50  58  18
  42 142 154 134 168  42  67 168  92 174  80  17 142  37]",[ 17 174  69 113  92  87  92  46]
"[131  56  28  88  88  21 160 122  17 173 173 139 132  72  72  80  29  10
  10 102 157  80 131 173 173 139 148 112 112 139 148 112]",[112 112 112 139  30  80 131  29]
"[172 172  28  47  52  50  52 162  55 169  50 169 172 123 165 169 145 169
 172  15 169  42 169 172  47  52  50  52  46  28 172  50]",[ 56  17  47 172 145  92 172  38]
"[ 37  92  26  37  92  42  37  92  37  92  42 142 168  82  67 168 139 142
  21  38  56  76  56  38  21 142 139 168  67 178 178 145]",[178 145 169  22 145 169 145 169]
"[ 11  80 126 142 145 122  52  38 169  74 124 162  11  80 126 142 145 122
  52  38 169  74 124 162  11 181 102 124 142 145  38 169]",[145  38 169 142 145  38 169 142]
"[ 67 168  69  21  46  22 172  22  76  56  46  47  28  17  42  50  47  50
 113  92  77 165  17 100  37  77  93  28 100  37  52  46]",[ 17 169 113  92  85 124  11  76]
"[ 88 135  88 135  88 135  88 136  17 172  82 145 123 127  47 155 123 127
 124 181  89  44  15  18  47 155 136  47  15 136  28 160]",[136 129  42  50  15 145  47  52]
"[ 42  93  56 123 153  92  56  42  56  28 153  92  56 145  38 131  28  38
 145 123  38 131 113  38 126 181   2 124 106 180   2 126]",[124 106 180   2 172  80 107  97]
"[ 99  50 126  37  50 126 145  92 126 145 170 145 170  52  47 170  52 169
  92  52 169 171 169 171 169 180  22 171 169  92 171  22]",[ 46   2  21 117  67 168 139  43]
"[124 159  93 124 159 159 159  93 124 159 159  39 117 116 124  90 124 124
 124  71 123 161 124  38 103 124 159  38  28   2  11  56]",[162 126 162  71 103  88 107 132]
"[ 71  80  73 159 154 104 164 159  59  67 159 102  80 159 142  21  38  46
 159  76 162 159 172 171 159 170 145  51  50 171  90 170]",[ 50 171  87 170 145  50 171 170]
"[128 138 151  28 151 151  89 138 128  30 113  30  30 123 128 138 150  44
 150 150  23 138  48 138 138 113 123  97   4 113   4   4]",[ 34  66  97  66  66 105  61  61]
"[ 76  99  24 145  22  76  99  24 145  66  76  24  24  22 171 160  97  44
  22 169 171 170  52 126 143 170  42 117  89  44 126  99]",[ 42  92 100  99 160 165  92  28]
"[108  15  37  61  99 169 162  87  21  38 156  46  76 144 162 144 172 162
  55 162  11  76  99 162  11 169  37 145  15 142 169  38]",[162  11  76  99 162  11 169  37]
"[ 92 171 160  52  28 145  15 126 180  42 123  11 124  92 113 160 117  37
 100 160 117  92 113  11 124  42 123 126 180 170  89 169]",[171 160  22  92 162  11  56  42]
"[ 43  97  28  42 127 123 125  44 123 125 117 123 125 123 123  88 152 123
  88 165 123  94 135  54 180  94 117 180 127 160  94  62]",[160  64  62 160 118  62  14 160]
"[129  89  17  50 136  15  17  42  72 145  50  11  10 172  17  29  13   7
 144  88  80 144 102  80  88 122  46 144  46  88  46  56]",[162  56  53  38 172 144  46  88]
"[ 47  19  19  19  19  89  19  17 151  99 151  17 151  17 151  37 151  37
 151  89  89  15  19  15  19  89  25  89  25  47 159  47]",[ 97 109  47 109  97  25  47  19]
"[110  43   9 110  67  67 110  67 139 139  67 139   2   2 139   2  76  76
   2  76 171 171  76 171 126   2 126 139   2  76  76  99]",[ 76 171 171 160  76 171 126 126]
"[ 57  22  46  22 170  44  22  76 172 170  44 172  46  22 171 113  22   2
  76 171  92  76  21  46 171  92  46  21  46 171  92  46]",[ 46 171 180  46 142   2 169 180]
"[ 28  92  42  34  28  92 126  12  28  11  42  34  28  92 170 127  11  42
 162 123  11  42 171  89  11  42 170 160  11  42  52  93]",[ 92  42  34  28  92 126  12  28]
"[171  71  56  34 142  71  98  71  56   8  76 133  76   8 125 103  76  51
 169 169 156 169  33  22  98   2  33  86  33  22  58  38]",[168  58  34  58  38 103   2  45]
"[ 89  50  21  17  50  38  17 145  42 145  92 145  42  46 145  56  17 145
  42 145 116  37 145  42 145 120  89 170   8  50 170  58]",[170 159  50 170  39  89 170  50]
