x_val,future
"[ 57  95   9  95  43 180  95  43 180 137   9 154 104 110  82  37  34 180
  67 168 139 142  21  14 101  31  37  34 101 160 171  76]",[117  56  76 160  22  99 171 126]
"[ 92   4  42  70  28  50  11  70  50  28 145  42 145   7  37 145  42   7
 145  62 160 145  42  62 145  10  17 145  42 145  38  17]",[ 42 145  92 145  42  46 145  56]
"[ 97  92  99  17  92  99  17  89  92  37  99  17  17 165  92 113  99  97
  17  44  92 100  99 165  17 152  92  48  99 105  17 152]",[ 48  99 105  17 152  92  48  99]
"[ 46  38  56 172 144  46  88  38  36 142  38 142 102  53  80 102  80  80
 144  80  88  79 142  80 102  82  55  59  82 102  80 144]",[ 80  87 168  80 168  80  25 168]
"[143  10 143  10 143 164  10 143  10 110  10  86  10  82  10  36  10  82
  54  62  62  62  62  62  62  62  62  62  62 139  54 135]",[135 177 135 177 135 177 135 177]
"[ 54 171 117  90  90 103 103  90  90  71  71  90  90 103 103  71  71  90
  90 146  90  90  11 181 162 124  11 181 162 124 160  54]",[117 160  54 171 117  11 181 162]
"[ 84  39 147  39  98  39  51 120  84  33   8 177   8  79  58  37  79  65
 121  86  86  58  85  58 121  24   2  46 177 176  76   2]",[ 24 135  46  51   2  66   8 121]
"[160  11 162  11 145 126  48 180  28  92  28 180  28 180 152  28  48  92
 181  28  48 180 152  50  48  47  89  92  89  47  89  54]",[ 89  92  89  47  22  58  92 126]
"[172 170  23 172  21 172 170  44 172  76  38 172 145 165 172  22  46 170
  50 113 170 172  46 170  50  47 170 172  76 170  99  89]",[172  76 145  99  17 145 169  22]
"[125 123  89 160 123  89 160  88 165 123  28  88 125 123  89 160  47 162
 160 172  28 171  89 172  28 162 157  56  93 123  17  56]",[124 160  56  93 165  28  46  18]
"[ 76  99 170 172  76  25  99 170 156 172  76  69 172  76  91  22  46 169
  38 172  21 170 172  76  21  91 170 172  98  76  21  24]",[ 21  25  76  38  22  46 172  76]
"[ 56  89 160  42  56  89 160  42  56  15 160  42  56  15 160  42  56  15
 160  42  56  38 180  37   2  42   2 180   2  37   2  42]",[180   2  37   2  42   2  86  92]
"[ 43  30  16 177  94 150 150 157  30 157  30  39  56 161  42 103   8 157
  30 150 177 138 150 176  43 176  43 116 171  39 160  33]",[ 43 103 176  43 125 157  94 176]
"[170  71 171 172   8  50 170 171 172 165  50 170 171 172  50 170 171 172
   8  99 145  33 171 172  71  99 145 171 172 165  99 145]",[172  99 145 171 172  71  11  50]
"[126 171  97  76   2 113 126 171 100  76   2 126 171  56 171 170 171 117
  56  21  67 170 171  82  56  21  59 170  22 110  56  21]",[ 22  56   2 126  22  56   2 126]
"[ 76 165   2  56  28  38   2 117 122  76 160   2  38 123  56 162 180 172
 171  15  52 145 160 126 145 123  42 145 160 171 145 123]",[145  17 172 126 124  11 126  17]
"[155 129  18  47  93  41  41  93  47  93  41  93  47  93 129  47  93  47
  41  41  93  47  93  41  47  93  47  93  47  93  47  93]",[169 113 100  50  47  92  37 169]
"[142  80 142  80 139  80 139 102  80 102  80 102  80 102  80 102  80 102
  80 102  80 102  80 102  80  59  80 139 102  80 122  46]",[ 38  88  46  38 144  46 122  88]
"[135 180  34  34 180  44  91 180  34 136  34 136  43  33  98  14  43 177
   2 180 177 117 180 135 139 180 168 113 180  14 142 180]",[168  97 180 176 180  45  86 135]
"[ 46 171  38 160  11 145 172  18  17  99 145 172  17  99 145 171  57 160
  11 145 171 155 160  11 145 171  21 160  11 126 171 160]",[ 21 170 171 142 160  92 139 170]
"[171 113 162  22 171  20  52 170 126  50 170 171 113 162  22 171  20  52
 170 126  50 170 171 113 162  22 171  20  52 170 126  50]",[171 113  20 162  46 162  46  21]
"[169 169 169 169 169 169  13 171 171 171  68  68  68  68  68  68  68  68
  68  68  13  70  68  68  13  13  13 150  68  68  13  70]",[ 68  13  13  13  13 129 129   8]
"[ 34 161 153 119   8  39  34 161 153 119 103 103 157 125  31 103 157 125
  31 116 103 176  51  94  31  33 103 176   8  94  31 116]",[157  30 116 111 157  30 116 111]
"[142 100 162  46 170  37 139 142 162  46  50  21  21  97 169  22  99  38
  46 145  22  37  76  76  17 170 172  99  46  38  89 172]",[ 99  21  21 113 170  22  69  46]
"[127  43 105  98 125  97  98 125 105 143 170  44  21 142 139 168  67  97
  76  99  67  97  76  99  67  97  76  99  98 124 125  11]",[125 124  98 143  99  97  99  67]
"[145 126  76  18 142  76 142  67  61  76  18 142  76 142  67  61 142  18
  67 142  67 154  61  67  18 154  67 154  95  61 110  57]",[110   9  95  43 180 137   9  43]
"[121 121 121 100 121 121  79 100  79  79  79 100  79  79 121  97  58  58
  58  58  58  58  58  58  58  90  58  58  51  58 120  58]",[ 58 120  58  58  58 120  58  58]
"[ 82 172  80  56  82 172  80  56  59 145  52 102 171 172 139  22 162  38
  22 162  82 172 162  80  56 141  73  38   9  50  35 162]",[ 50  35 162  59 148 102 129 148]
"[122  38  10 122  38  52  50 172  52 172  28  46 172 172 145  56 172  56
  17  38  56 172  52  46 172  46  50 122  46  46 162  21]",[171  21 162 139  21 171  46 172]
"[127 123  42  56 127 157  57  44 131  76  93  22  28 168  57 138  44  93
  45  54 117 177 160 139  54   4  48 105 150 127 117 150]",[ 56 123 150  97 123 113  22 126]
"[104 110  59  67 147 129  67  44 168  80 128 142  21   2  46 128 111  69
  44  80 142 147  21   2  46  76 147 129  76  44  22 172]",[169 170 126  50  99  92  89  47]
"[160 171 126  76 180 160 126  42  22  37 126  42  22  37 126  42  76 117
   2  76 171 171  76 171 126 171  56 123  21  56 171 171]",[ 56 171 170 171   2  57 142   2]
"[170 102 153 131 153 131 153 131 168 106 131 168 106 131 168 125  64 125
  64 125  64 139  16  64 139  16  64 139 122 153 122 153]",[153  63 159  63 159  63 159 159]
"[ 97 126 170  89 172  76 170 172  89  46   2  44 172  76  89 122 142 172
  76  89   2  46  47  50 170  89 172  22  50 170  92  76]",[ 15 169  98  34  80  22  34  34]
"[150  90   2 150  90 107  39  56  52  56 159  56 122 131 103  21  21 115
 103  30 157  30 157  56  93 123  17  56  93 123  17  56]",[123  17  46  93  47  11  93  47]
"[142 102  80  53 142  56  80  88   5 142  79 102 164  59  55 102 142 122
 144  80  80  88  38  36 142 102  80  53 142  56  46 144]",[ 47 145  15  52  28 169  37 171]
"[ 76 171  98  14  76 117   2  76 171 171  76 171 126 171  56 123  21  56
 171 171 150  56 171 170 171   2  57 142   2  22  22  45]",[ 22 169  22   2 117 139   2  76]
"[ 17  97 172  89  92  56 105  97  76  37  22  97 172  15 169  25  44  97
  89  97  17  91  44  97  89  97  17 140  18  97  15  97]",[112  18 124  15 124 160 172 165]
"[138   8  93 166 149  33  33 166 116  51 166  39   8 138 159  39 138 116
  51  51   8  25  25  21  25  30  39 138  26 138   4  30]",[ 21  51 116  30 136  39  30 131]
"[ 82 139 139  42  82 139  21 139  99 110  92 180 154 110 168 168 126 110
 168 142 168  42 110 160  99   9 110  67  67 126 110  67]",[ 67  99 110  92 180 154 110 168]
"[ 89  16  47  44  89  16  44  47  89  25  44  97  89  16  44  47  89 151
 180  44  89 151   6  94 151  94  94  94  94  94  94  94]",[ 94  94  94  94  94 125 151  23]
"[128  89 128 135 128 151  44  89 151 135 151  44 151 151  89 151  20 135
 151 113  89 147  69 147 113 147 147  89 147  69 147  77]",[ 37  77  69  77 100  77  77  37]
"[165  69 113  59 179  44  67 179 100  67 165 179 113  67  97  69 113  59
  69 113  59  69 113  59 179  89  67 179  37  67  17 179]",[67 99 69 92 59 69 92 59]
"[ 89  16  87  25 174  87  44 113  89  25  44  97  89  16  44  47  89 151
  44 180  89 170  91  89   6  39  69  48 163 163 163 163]",[163 163 163 163 163 163 163  22]
"[176  96 146  96 146  96 146 132  49  76 172 145  99 172  97  76 165  38
  18  80 105  67 152 156  49 156  49 156  49 128  25 128]",[128  25 174  16  56  22 170  42]
"[170  42 170  42 160  89 157 160  42 170  42 160  89 160  42  89 157 160
  42 170  42 160  89 160  42  15 116 160  42 145  42 160]",[160  42  15  39  92  42 145  42]
"[113  48 117  54 100 175 117  54 113  48  97 105 123 127 180  57  89  44
  37 100 160 117  92 113  99  97  42 123 126 180 170  89]",[ 37 171 160  22  92  76  99  56]
"[159  60   1  49  29  49  29  49 116  29  71  49 116  29 159 172 103  29
 161  49  71   5  60   5  60  88  60  47  49  29  88  60]",[ 60  47  53 132 144  60 144  60]
"[131  34 131  34 131  34 131  34 131  34 131 157 116 131  39 153 161 106
  94 131 153 144 106 144 106 144 106 144 106 144 106 167]",[167  58 167  90 167 120 167  58]
